"setpoint_db","freq_hz:measured_gain_db"
-89.500000,600018310.546875:-62.554106;620013427.734375:-59.918894;640008544.921875:-55.311898;660003662.109375:-47.371630;679998779.296875:-36.947344;699993896.484375:-27.999107;719989013.671875:-23.764221;739984130.859375:-22.645600;759979248.046875:-22.290536;779974365.234375:-22.121844;799969482.421875:-22.009714;819964599.609375:-22.159483;839959716.796875:-22.762715;859954833.984375:-23.134307;879949951.171875:-22.162322;899945068.359375:-20.217329;919940185.546875:-19.549784;939935302.734375:-20.700983;959930419.921875:-21.816380;979925537.109375:-21.611781;999920654.296875:-20.955959;1019915771.484375:-20.991195;1039910888.671875:-21.214950;1059906005.859375:-21.155957;1079901123.046875:-21.894836;1099896240.234375:-24.534883;1119891357.421875:-30.550707;1139886474.609375:-39.787248;1159881591.796875:-47.572476;1179876708.984375:-53.140927;1179876708.984375:-53.140927
-89.000000,600018310.546875:-61.841004;620013427.734375:-58.892485;640008544.921875:-53.518071;660003662.109375:-44.436008;679998779.296875:-33.855441;699993896.484375:-25.764071;719989013.671875:-22.106716;739984130.859375:-21.124267;759979248.046875:-20.777593;779974365.234375:-20.635091;799969482.421875:-20.523432;819964599.609375:-20.617117;839959716.796875:-21.190036;859954833.984375:-21.657547;879949951.171875:-21.277124;899945068.359375:-20.251154;919940185.546875:-19.410451;939935302.734375:-19.635516;959930419.921875:-20.240954;979925537.109375:-19.947511;999920654.296875:-19.310392;1019915771.484375:-19.305162;1039910888.671875:-19.609953;1059906005.859375:-19.818541;1079901123.046875:-20.468819;1099896240.234375:-22.948345;1119891357.421875:-28.940403;1139886474.609375:-38.192585;1159881591.796875:-46.037466;1179876708.984375:-51.709261;1179876708.984375:-51.709261
-88.500000,600018310.546875:-61.169471;620013427.734375:-58.542177;640008544.921875:-53.793160;660003662.109375:-45.160720;679998779.296875:-34.007887;699993896.484375:-24.808423;719989013.671875:-20.630862;739984130.859375:-19.596989;759979248.046875:-19.276030;779974365.234375:-19.142304;799969482.421875:-19.031586;819964599.609375:-19.110552;839959716.796875:-19.646587;859954833.984375:-19.991366;879949951.171875:-18.983097;899945068.359375:-17.016182;919940185.546875:-16.408832;939935302.734375:-17.596245;959930419.921875:-18.673639;979925537.109375:-18.476455;999920654.296875:-17.995620;1019915771.484375:-18.133583;1039910888.671875:-18.102172;1059906005.859375:-17.964071;1079901123.046875:-18.744613;1099896240.234375:-21.386719;1119891357.421875:-27.428914;1139886474.609375:-36.808924;1159881591.796875:-44.944634;1179876708.984375:-50.839655;1179876708.984375:-50.839655
-88.000000,600018310.546875:-60.021176;620013427.734375:-56.635370;640008544.921875:-50.884951;660003662.109375:-41.463921;679998779.296875:-30.609191;699993896.484375:-22.504579;719989013.671875:-18.957528;739984130.859375:-18.056841;759979248.046875:-17.761926;779974365.234375:-17.679544;799969482.421875:-17.562165;819964599.609375:-17.593221;839959716.796875:-18.128672;859954833.984375:-18.574101;879949951.171875:-18.153579;899945068.359375:-17.138935;919940185.546875:-16.367406;939935302.734375:-16.596490;959930419.921875:-17.159018;979925537.109375:-16.867391;999920654.296875:-16.240208;1019915771.484375:-16.206256;1039910888.671875:-16.483583;1059906005.859375:-16.686529;1079901123.046875:-17.336705;1099896240.234375:-19.805725;1119891357.421875:-25.811710;1139886474.609375:-35.103112;1159881591.796875:-43.037070;1179876708.984375:-48.861255;1179876708.984375:-48.861255
-87.500000,600018310.546875:-58.915794;620013427.734375:-55.319565;640008544.921875:-49.394443;660003662.109375:-39.626360;679998779.296875:-27.928374;699993896.484375:-19.136263;719989013.671875:-16.170263;739984130.859375:-16.162745;759979248.046875:-16.228825;779974365.234375:-16.195044;799969482.421875:-16.082184;819964599.609375:-16.122800;839959716.796875:-16.631853;859954833.984375:-17.035612;879949951.171875:-16.668025;899945068.359375:-16.038729;919940185.546875:-16.160264;939935302.734375:-16.927913;959930419.921875:-16.781961;979925537.109375:-15.696563;999920654.296875:-14.803364;1019915771.484375:-14.711820;1039910888.671875:-14.848481;1059906005.859375:-14.920562;1079901123.046875:-15.865377;1099896240.234375:-18.631311;1119891357.421875:-24.506322;1139886474.609375:-33.657687;1159881591.796875:-41.578894;1179876708.984375:-47.430501;1179876708.984375:-47.430501
-87.000000,600018310.546875:-57.632861;620013427.734375:-53.908797;640008544.921875:-47.947544;660003662.109375:-38.605340;679998779.296875:-27.944339;699993896.484375:-19.649174;719989013.671875:-15.931945;739984130.859375:-15.021273;759979248.046875:-14.759232;779974365.234375:-14.683910;799969482.421875:-14.595165;819964599.609375:-14.658746;839959716.796875:-15.144072;859954833.984375:-15.526422;879949951.171875:-15.118977;899945068.359375:-13.946871;919940185.546875:-12.915113;939935302.734375:-13.374123;959930419.921875:-14.200392;979925537.109375:-13.938626;999920654.296875:-13.273286;1019915771.484375:-13.234135;1039910888.671875:-13.494298;1059906005.859375:-13.668177;1079901123.046875:-14.337447;1099896240.234375:-16.819525;1119891357.421875:-22.789013;1139886474.609375:-32.048599;1159881591.796875:-39.979101;1179876708.984375:-45.837626;1179876708.984375:-45.837626
-86.500000,600018310.546875:-56.523552;620013427.734375:-52.685756;640008544.921875:-46.565195;660003662.109375:-36.671309;679998779.296875:-25.124325;699993896.484375:-16.827227;719989013.671875:-14.008290;739984130.859375:-13.611540;759979248.046875:-13.443668;779974365.234375:-13.382130;799969482.421875:-13.294697;819964599.609375:-13.358970;839959716.796875:-13.830983;859954833.984375:-14.183533;879949951.171875:-13.841709;899945068.359375:-13.223864;919940185.546875:-13.034706;939935302.734375:-13.290217;959930419.921875:-13.251882;979925537.109375:-12.593683;999920654.296875:-11.901255;1019915771.484375:-11.848687;1039910888.671875:-12.017989;1059906005.859375:-12.236652;1079901123.046875:-13.204071;1099896240.234375:-15.597059;1119891357.421875:-21.402402;1139886474.609375:-30.646174;1159881591.796875:-38.606244;1179876708.984375:-44.498710;1179876708.984375:-44.498710
-86.000000,600018310.546875:-55.401600;620013427.734375:-51.502936;640008544.921875:-45.314630;660003662.109375:-35.282164;679998779.296875:-23.504157;699993896.484375:-15.106213;719989013.671875:-12.500123;739984130.859375:-12.279979;759979248.046875:-12.177935;779974365.234375:-12.166172;799969482.421875:-12.083778;819964599.609375:-12.108380;839959716.796875:-12.537132;859954833.984375:-12.858869;879949951.171875:-12.517037;899945068.359375:-11.974611;919940185.546875:-11.918651;939935302.734375:-12.173477;959930419.921875:-11.866110;979925537.109375:-11.096820;999920654.296875:-10.459269;1019915771.484375:-10.400618;1039910888.671875:-10.541923;1059906005.859375:-10.688029;1079901123.046875:-11.517119;1099896240.234375:-13.931663;1119891357.421875:-19.795815;1139886474.609375:-29.050408;1159881591.796875:-37.062677;1179876708.984375:-43.041048;1179876708.984375:-43.041048
-85.500000,600018310.546875:-54.032458;620013427.734375:-50.145132;640008544.921875:-44.549840;660003662.109375:-35.744033;679998779.296875:-24.563579;699993896.484375:-15.705009;719989013.671875:-12.034511;739984130.859375:-11.275434;759979248.046875:-11.136197;779974365.234375:-11.124777;799969482.421875:-11.061062;819964599.609375:-11.097908;839959716.796875:-11.432443;859954833.984375:-11.571406;879949951.171875:-10.640696;899945068.359375:-8.939300;919940185.546875:-8.339750;939935302.734375:-9.134903;959930419.921875:-9.927760;979925537.109375:-9.745798;999920654.296875:-9.224378;1019915771.484375:-9.181172;1039910888.671875:-9.307079;1059906005.859375:-9.333582;1079901123.046875:-10.020046;1099896240.234375:-12.440404;1119891357.421875:-18.296235;1139886474.609375:-27.509679;1159881591.796875:-35.498862;1179876708.984375:-41.477403;1179876708.984375:-41.477403
-85.000000,600018310.546875:-52.668132;620013427.734375:-48.635919;640008544.921875:-42.378351;660003662.109375:-32.705926;679998779.296875:-21.981297;699993896.484375:-14.169738;719989013.671875:-11.028773;739984130.859375:-10.392046;759979248.046875:-10.288753;779974365.234375:-10.287467;799969482.421875:-10.240877;819964599.609375:-10.284762;839959716.796875:-10.565761;859954833.984375:-10.758955;879949951.171875:-10.471443;899945068.359375:-9.567293;919940185.546875:-8.466765;939935302.734375:-8.399694;959930419.921875:-8.841527;979925537.109375:-8.663706;999920654.296875:-8.224920;1019915771.484375:-8.202130;1039910888.671875:-8.404937;1059906005.859375:-8.562213;1079901123.046875:-9.055531;1099896240.234375:-11.166071;1119891357.421875:-16.832634;1139886474.609375:-25.957395;1159881591.796875:-33.915919;1179876708.984375:-39.878702;1179876708.984375:-39.878702
