"setpoint_db","freq_hz:measured_gain_db"
-89.500000,1800000000.000000:-60.077190;1819995117.187500:-57.840496;1839990234.375000:-55.739764;1859985351.562500:-52.810663;1879980468.750000:-49.126506;1899975585.937500:-44.346629;1919970703.125000:-38.576650;1939965820.312500:-32.570305;1959960937.500000:-27.699272;1979956054.687500:-24.989587;1999951171.875000:-23.983471;2019946289.062500:-23.529978;2039941406.250000:-23.159346;2059936523.437500:-23.062229;2079931640.625000:-23.214824;2099926757.812500:-23.386718;2119921875.000000:-23.629567;2139916992.187500:-24.128190;2159912109.375000:-24.748103;2179907226.562500:-25.073753;2199902343.750000:-24.892795;2219897460.937500:-24.459576;2239892578.125000:-24.246675;2259887695.312500:-24.294968;2279882812.500000:-24.486403;2299877929.687500:-25.024600;2319873046.875000:-26.022487;2339868164.062500:-27.170665;2359863281.250000:-27.853232;2379858398.437500:-27.726889;2399853515.625000:-26.761214;2419848632.812500:-25.420967;2439843750.000000:-24.929068;2459838867.187500:-25.209579;2479833984.375000:-25.646381;2499829101.562500:-25.860466;2519824218.750000:-25.861789;2539819335.937500:-26.120185;2559814453.125000:-26.892189;2579809570.312500:-27.980723;2599804687.500000:-28.903749;2619799804.687500:-29.563906;2639794921.875000:-30.338540;2659790039.062500:-31.484726;2679785156.250000:-33.361081;2679785156.250000:-33.361081
-89.000000,1800000000.000000:-60.326678;1819995117.187500:-57.183039;1839990234.375000:-54.950522;1859985351.562500:-51.685262;1879980468.750000:-47.721182;1899975585.937500:-42.889727;1919970703.125000:-37.092047;1939965820.312500:-31.018848;1959960937.500000:-26.118676;1979956054.687500:-23.419790;1999951171.875000:-22.423235;2019946289.062500:-21.975787;2039941406.250000:-21.615707;2059936523.437500:-21.539921;2079931640.625000:-21.711250;2099926757.812500:-21.881776;2119921875.000000:-22.118300;2139916992.187500:-22.612619;2159912109.375000:-23.214890;2179907226.562500:-23.501286;2199902343.750000:-23.297058;2219897460.937500:-22.878140;2239892578.125000:-22.702686;2259887695.312500:-22.810659;2279882812.500000:-23.059500;2299877929.687500:-23.598125;2319873046.875000:-24.558810;2339868164.062500:-25.672595;2359863281.250000:-26.328123;2379858398.437500:-26.208744;2399853515.625000:-25.307996;2419848632.812500:-24.010408;2439843750.000000:-23.449988;2459838867.187500:-23.655119;2479833984.375000:-24.088162;2499829101.562500:-24.355141;2519824218.750000:-24.413586;2539819335.937500:-24.677181;2559814453.125000:-25.385010;2579809570.312500:-26.386892;2599804687.500000:-27.279127;2619799804.687500:-27.986789;2639794921.875000:-28.826344;2659790039.062500:-29.958151;2679785156.250000:-31.670675;2679785156.250000:-31.670675
-88.500000,1800000000.000000:-57.712411;1819995117.187500:-56.015026;1839990234.375000:-53.948925;1859985351.562500:-50.462651;1879980468.750000:-46.322763;1899975585.937500:-41.481095;1919970703.125000:-35.688380;1939965820.312500:-29.578730;1959960937.500000:-24.619415;1979956054.687500:-21.864521;1999951171.875000:-20.839243;2019946289.062500:-20.391018;2039941406.250000:-20.049935;2059936523.437500:-20.003615;2079931640.625000:-20.202439;2099926757.812500:-20.391304;2119921875.000000:-20.641652;2139916992.187500:-21.143006;2159912109.375000:-21.711857;2179907226.562500:-21.952176;2199902343.750000:-21.714450;2219897460.937500:-21.269964;2239892578.125000:-21.089805;2259887695.312500:-21.231206;2279882812.500000:-21.534869;2299877929.687500:-22.115375;2319873046.875000:-23.082897;2339868164.062500:-24.173107;2359863281.250000:-24.785825;2379858398.437500:-24.611127;2399853515.625000:-23.709240;2419848632.812500:-22.485824;2439843750.000000:-21.932234;2459838867.187500:-22.112384;2479833984.375000:-22.567070;2499829101.562500:-22.877311;2519824218.750000:-22.948933;2539819335.937500:-23.175979;2559814453.125000:-23.819580;2579809570.312500:-24.757482;2599804687.500000:-25.648816;2619799804.687500:-26.435914;2639794921.875000:-27.356984;2659790039.062500:-28.513530;2679785156.250000:-30.177002;2679785156.250000:-30.177002
-88.000000,1800000000.000000:-57.321135;1819995117.187500:-54.932949;1839990234.375000:-52.777620;1859985351.562500:-49.191833;1879980468.750000:-44.931455;1899975585.937500:-40.021664;1919970703.125000:-34.187565;1939965820.312500:-28.058335;1959960937.500000:-23.122200;1979956054.687500:-20.394818;1999951171.875000:-19.383626;2019946289.062500:-18.936102;2039941406.250000:-18.587912;2059936523.437500:-18.518187;2079931640.625000:-18.669923;2099926757.812500:-18.817616;2119921875.000000:-19.062481;2139916992.187500:-19.576852;2159912109.375000:-20.151843;2179907226.562500:-20.377940;2199902343.750000:-20.144879;2219897460.937500:-19.733746;2239892578.125000:-19.579186;2259887695.312500:-19.730017;2279882812.500000:-20.037208;2299877929.687500:-20.605818;2319873046.875000:-21.549917;2339868164.062500:-22.605683;2359863281.250000:-23.192816;2379858398.437500:-23.025061;2399853515.625000:-22.173490;2419848632.812500:-21.029089;2439843750.000000:-20.476042;2459838867.187500:-20.618469;2479833984.375000:-21.072373;2499829101.562500:-21.418372;2519824218.750000:-21.528064;2539819335.937500:-21.763788;2559814453.125000:-22.368562;2579809570.312500:-23.245509;2599804687.500000:-24.109188;2619799804.687500:-24.923342;2639794921.875000:-25.859178;2659790039.062500:-26.991943;2679785156.250000:-28.623552;2679785156.250000:-28.623552
-87.500000,1800000000.000000:-57.899886;1819995117.187500:-54.114644;1839990234.375000:-51.703552;1859985351.562500:-47.967934;1879980468.750000:-43.592232;1899975585.937500:-38.619230;1919970703.125000:-32.770158;1939965820.312500:-26.654000;1959960937.500000:-21.721240;1979956054.687500:-18.991868;1999951171.875000:-17.981263;2019946289.062500:-17.534279;2039941406.250000:-17.183677;2059936523.437500:-17.106372;2079931640.625000:-17.246243;2099926757.812500:-17.381232;2119921875.000000:-17.598516;2139916992.187500:-18.077481;2159912109.375000:-18.655707;2179907226.562500:-18.933492;2199902343.750000:-18.758323;2219897460.937500:-18.386540;2239892578.125000:-18.245769;2259887695.312500:-18.388363;2279882812.500000:-18.668421;2299877929.687500:-19.202197;2319873046.875000:-20.129804;2339868164.062500:-21.179335;2359863281.250000:-21.754819;2379858398.437500:-21.582566;2399853515.625000:-20.755296;2419848632.812500:-19.652361;2439843750.000000:-19.104242;2459838867.187500:-19.237540;2479833984.375000:-19.668574;2499829101.562500:-19.993040;2519824218.750000:-20.124825;2539819335.937500:-20.397332;2559814453.125000:-20.991958;2579809570.312500:-21.810854;2599804687.500000:-22.640620;2619799804.687500:-23.467165;2639794921.875000:-24.417402;2659790039.062500:-25.528096;2679785156.250000:-27.128179;2679785156.250000:-27.128179
-87.000000,1800000000.000000:-54.810996;1819995117.187500:-52.359512;1839990234.375000:-50.102802;1859985351.562500:-46.430095;1879980468.750000:-42.139964;1899975585.937500:-37.181024;1919970703.125000:-31.303644;1939965820.312500:-25.162690;1959960937.500000:-20.201093;1979956054.687500:-17.465330;1999951171.875000:-16.463153;2019946289.062500:-16.031971;2039941406.250000:-15.700304;2059936523.437500:-15.633914;2079931640.625000:-15.781971;2099926757.812500:-15.917772;2119921875.000000:-16.123107;2139916992.187500:-16.589927;2159912109.375000:-17.163592;2179907226.562500:-17.438034;2199902343.750000:-17.238353;2219897460.937500:-16.834471;2239892578.125000:-16.677478;2259887695.312500:-16.827515;2279882812.500000:-17.135422;2299877929.687500:-17.676121;2319873046.875000:-18.558825;2339868164.062500:-19.522651;2359863281.250000:-20.016546;2379858398.437500:-19.810878;2399853515.625000:-19.045266;2419848632.812500:-18.057498;2439843750.000000:-17.543740;2459838867.187500:-17.651421;2479833984.375000:-18.065098;2499829101.562500:-18.404294;2519824218.750000:-18.572502;2539819335.937500:-18.862826;2559814453.125000:-19.431362;2579809570.312500:-20.197367;2599804687.500000:-21.013440;2619799804.687500:-21.887691;2639794921.875000:-22.879916;2659790039.062500:-23.977170;2679785156.250000:-25.534195;2679785156.250000:-25.534195
-86.500000,1800000000.000000:-53.509936;1819995117.187500:-51.147550;1839990234.375000:-48.897325;1859985351.562500:-45.182089;1879980468.750000:-40.810833;1899975585.937500:-35.786393;1919970703.125000:-29.885561;1939965820.312500:-23.765664;1959960937.500000:-18.840968;1979956054.687500:-16.122814;1999951171.875000:-15.122271;2019946289.062500:-14.692517;2039941406.250000:-14.367820;2059936523.437500:-14.296611;2079931640.625000:-14.427728;2099926757.812500:-14.555133;2119921875.000000:-14.756344;2139916992.187500:-15.206073;2159912109.375000:-15.762980;2179907226.562500:-16.048932;2199902343.750000:-15.888637;2219897460.937500:-15.526868;2239892578.125000:-15.392318;2259887695.312500:-15.538987;2279882812.500000:-15.828576;2299877929.687500:-16.351683;2319873046.875000:-17.233785;2339868164.062500:-18.207262;2359863281.250000:-18.710827;2379858398.437500:-18.506148;2399853515.625000:-17.737888;2419848632.812500:-16.756629;2439843750.000000:-16.236176;2459838867.187500:-16.342983;2479833984.375000:-16.773688;2499829101.562500:-17.129689;2519824218.750000:-17.293086;2539819335.937500:-17.552711;2559814453.125000:-18.076738;2579809570.312500:-18.804951;2599804687.500000:-19.609330;2619799804.687500:-20.484501;2639794921.875000:-21.470422;2659790039.062500:-22.544685;2679785156.250000:-24.054384;2679785156.250000:-24.054384
-86.000000,1800000000.000000:-52.227484;1819995117.187500:-49.671180;1839990234.375000:-47.439288;1859985351.562500:-43.799259;1879980468.750000:-39.432897;1899975585.937500:-34.352839;1919970703.125000:-28.379197;1939965820.312500:-22.231496;1959960937.500000:-17.367329;1979956054.687500:-14.728858;1999951171.875000:-13.771047;2019946289.062500:-13.365019;2039941406.250000:-13.061220;2059936523.437500:-12.995182;2079931640.625000:-13.113833;2099926757.812500:-13.230024;2119921875.000000:-13.414828;2139916992.187500:-13.815912;2159912109.375000:-14.304969;2179907226.562500:-14.552266;2199902343.750000:-14.416209;2219897460.937500:-14.110229;2239892578.125000:-14.011186;2259887695.312500:-14.166522;2279882812.500000:-14.439684;2299877929.687500:-14.911564;2319873046.875000:-15.733064;2339868164.062500:-16.686906;2359863281.250000:-17.213650;2379858398.437500:-17.039196;2399853515.625000:-16.298338;2419848632.812500:-15.352144;2439843750.000000:-14.850084;2459838867.187500:-14.954981;2479833984.375000:-15.380749;2499829101.562500:-15.747407;2519824218.750000:-15.934349;2539819335.937500:-16.189308;2559814453.125000:-16.663454;2579809570.312500:-17.329766;2599804687.500000:-18.108979;2619799804.687500:-19.000570;2639794921.875000:-19.985311;2659790039.062500:-21.039176;2679785156.250000:-22.527790;2679785156.250000:-22.527790
-85.500000,1800000000.000000:-50.921947;1819995117.187500:-48.148912;1839990234.375000:-45.876650;1859985351.562500:-42.253117;1879980468.750000:-37.875089;1899975585.937500:-32.805255;1919970703.125000:-26.870094;1939965820.312500:-20.754602;1959960937.500000:-15.949882;1979956054.687500:-13.400898;1999951171.875000:-12.515307;2019946289.062500:-12.171635;2039941406.250000:-11.925506;2059936523.437500:-11.877553;2079931640.625000:-11.993320;2099926757.812500:-12.114684;2119921875.000000:-12.284752;2139916992.187500:-12.629553;2159912109.375000:-13.051952;2179907226.562500:-13.268183;2199902343.750000:-13.136974;2219897460.937500:-12.847649;2239892578.125000:-12.742080;2259887695.312500:-12.872992;2279882812.500000:-13.124886;2299877929.687500:-13.558426;2319873046.875000:-14.299588;2339868164.062500:-15.160784;2359863281.250000:-15.630436;2379858398.437500:-15.452931;2399853515.625000:-14.788854;2419848632.812500:-13.982452;2439843750.000000:-13.568441;2459838867.187500:-13.670750;2479833984.375000:-14.044417;2499829101.562500:-14.380905;2519824218.750000:-14.575478;2539819335.937500:-14.830820;2559814453.125000:-15.273005;2579809570.312500:-15.894469;2599804687.500000:-16.640821;2619799804.687500:-17.513190;2639794921.875000:-18.482565;2659790039.062500:-19.510634;2679785156.250000:-20.970078;2679785156.250000:-20.970078
-85.000000,1800000000.000000:-48.871159;1819995117.187500:-47.013514;1839990234.375000:-44.864161;1859985351.562500:-41.244443;1879980468.750000:-36.791986;1899975585.937500:-31.608208;1919970703.125000:-25.557480;1939965820.312500:-19.376870;1959960937.500000:-14.645883;1979956054.687500:-12.277607;1999951171.875000:-11.524406;2019946289.062500:-11.261378;2039941406.250000:-11.072153;2059936523.437500:-11.035742;2079931640.625000:-11.141323;2099926757.812500:-11.253535;2119921875.000000:-11.397596;2139916992.187500:-11.687652;2159912109.375000:-12.051166;2179907226.562500:-12.237953;2199902343.750000:-12.125971;2219897460.937500:-11.875746;2239892578.125000:-11.771205;2259887695.312500:-11.864170;2279882812.500000:-12.067252;2299877929.687500:-12.426787;2319873046.875000:-13.041502;2339868164.062500:-13.760352;2359863281.250000:-14.158638;2379858398.437500:-14.040650;2399853515.625000:-13.533447;2419848632.812500:-12.895312;2439843750.000000:-12.576516;2459838867.187500:-12.679902;2479833984.375000:-12.994113;2499829101.562500:-13.278999;2519824218.750000:-13.459111;2539819335.937500:-13.691228;2559814453.125000:-14.070334;2579809570.312500:-14.618100;2599804687.500000:-15.299210;2619799804.687500:-16.132794;2639794921.875000:-17.089700;2659790039.062500:-18.109462;2679785156.250000:-19.573388;2679785156.250000:-19.573388
